tasks: 1062882   seeds/task: 48   steps: 60
  0/1062882  hits=0
  20000/1062882  hits=1620
  40000/1062882  hits=3240
  60000/1062882  hits=4878
  80000/1062882  hits=6760
  100000/1062882  hits=11776
  120000/1062882  hits=15894
  140000/1062882  hits=17874
  160000/1062882  hits=19206
  180000/1062882  hits=21258
  200000/1062882  hits=23022
  220000/1062882  hits=28416
  240000/1062882  hits=32014
  260000/1062882  hits=34144
  280000/1062882  hits=35336
  300000/1062882  hits=37434
  320000/1062882  hits=39452
  340000/1062882  hits=44938
