tasks: 1062882   seeds/task: 12   steps: 60
  0/1062882  hits=0
  20000/1062882  hits=615
  40000/1062882  hits=1278
  60000/1062882  hits=1954
  80000/1062882  hits=2766
  100000/1062882  hits=5053
  120000/1062882  hits=6942
  140000/1062882  hits=7730
  160000/1062882  hits=8296
  180000/1062882  hits=9087
  200000/1062882  hits=9872
  220000/1062882  hits=12320
  240000/1062882  hits=14068
  260000/1062882  hits=14842
  280000/1062882  hits=15372
  300000/1062882  hits=16144
  320000/1062882  hits=17112
  340000/1062882  hits=19548
  360000/1062882  hits=21546
  380000/1062882  hits=24026
  400000/1062882  hits=25558
  420000/1062882  hits=26532
  440000/1062882  hits=27530
  460000/1062882  hits=30108
  480000/1062882  hits=31964
  500000/1062882  hits=34606
  520000/1062882  hits=35944
  540000/1062882  hits=36812
  560000/1062882  hits=37966
  580000/1062882  hits=40534
  600000/1062882  hits=42510
  620000/1062882  hits=45068
  640000/1062882  hits=46218
  660000/1062882  hits=47138
  680000/1062882  hits=48458
  700000/1062882  hits=51056
  720000/1062882  hits=52960
  740000/1062882  hits=55481
  760000/1062882  hits=56476
  780000/1062882  hits=57396
  800000/1062882  hits=57856
  820000/1062882  hits=58708
  840000/1062882  hits=60206
  860000/1062882  hits=62698
  880000/1062882  hits=63640
  900000/1062882  hits=64408
  920000/1062882  hits=64958
  940000/1062882  hits=65770
  960000/1062882  hits=67446
  980000/1062882  hits=69912
  1000000/1062882  hits=70656
  1020000/1062882  hits=71488
  1040000/1062882  hits=72018
  1060000/1062882  hits=72822
done: 72832 hits -> data/sweep1d_cite2.txt
