r0a,r0b,r0c,r1a,r1b,r1c,t0,t1,extinct,fixed,balanced,cycle,glider,growing,unresolved,maxperiod,periodmask,maxtransient,nonpow2,maxactive,balanced0,cycle0
-1,-1,-1,-1,-1,-1,0,1,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,1,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,0,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,1,1,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,0,0,1,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,0,1,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,0,0,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,0,1,1,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,1,0,1,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,1,1,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,1,0,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,1,1,1,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,0,-1,0,1,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,0,-1,1,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,0,-1,0,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,0,-1,1,1,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,0,0,0,1,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,0,0,1,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,0,0,0,0,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,0,0,1,1,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,0,1,0,1,0,49152,0,0,0,0,0,0,0,0,0,0,0,0
