rule0,rule1,targets,orbit_size,cycle_sums,extinct,fixed,balanced,cycle,glider,growing,unresolved,maxperiod,periods,maxtransient,balanced_at_t0,maxactive
"(-1, -1, -1)","(-1, -1, -1)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, -1, -1)",id,2,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, -1, -1)",swap,2,[-2],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, -1, 0)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, -1, 0)",id,4,"[-1, 0]",0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, -1, 0)",swap,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, -1, 0)",const1,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, -1, 1)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, -1, 1)",id,4,"[-1, 1]",0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, -1, 1)",swap,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, -1, 1)",const1,4,[1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, 0, -1)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, 0, -1)",id,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, 0, -1)",swap,4,[-2],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, 0, -1)",const1,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, 0, 0)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, 0, 0)",id,4,"[-1, 0]",0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, 0, 0)",swap,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, 0, 0)",const1,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, 0, 1)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, 0, 1)",id,4,"[-1, 1]",0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, 0, 1)",swap,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, 0, 1)",const1,4,[1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(-1, 1, -1)",const0,4,[-1],0,18992,0,30160,0,0,0,2,[2],4,0,0
"(-1, -1, -1)","(-1, 1, -1)",id,4,[-1],0,18992,0,30160,0,0,0,2,[2],4,0,0
"(-1, -1, -1)","(-1, 1, -1)",swap,4,[-2],0,18992,0,30160,0,0,0,2,[2],4,0,0
"(-1, -1, -1)","(-1, 1, -1)",const1,4,[-1],0,18992,0,30160,0,0,0,2,[2],4,0,0
"(-1, -1, -1)","(-1, 1, 0)",const0,4,[-1],0,11832,0,37320,0,0,0,2,[2],0,0,0
"(-1, -1, -1)","(-1, 1, 0)",id,4,"[-1, 0]",0,49152,0,0,0,0,0,0,[],7,0,0
"(-1, -1, -1)","(-1, 1, 0)",swap,4,[-1],0,11832,0,37320,0,0,0,2,[2],0,0,0
"(-1, -1, -1)","(-1, 1, 0)",const1,4,[0],0,49152,0,0,0,0,0,0,[],7,0,0
"(-1, -1, -1)","(-1, 1, 1)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],4,0,0
"(-1, -1, -1)","(-1, 1, 1)",id,4,"[-1, 1]",0,19788,0,0,0,29364,0,0,[],5,0,0
"(-1, -1, -1)","(-1, 1, 1)",swap,4,[0],0,49152,0,0,0,0,0,0,[],4,0,0
"(-1, -1, -1)","(-1, 1, 1)",const1,4,[1],0,19788,0,0,0,29364,0,0,[],5,0,0
"(-1, -1, -1)","(0, -1, -1)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],1,0,0
"(-1, -1, -1)","(0, -1, -1)",id,4,[-1],0,16384,0,0,0,32768,0,0,[],6,0,0
"(-1, -1, -1)","(0, -1, -1)",swap,4,[-2],0,49152,0,0,0,0,0,0,[],1,0,0
"(-1, -1, -1)","(0, -1, -1)",const1,4,[-1],0,16384,0,0,0,32768,0,0,[],6,0,0
"(-1, -1, -1)","(0, -1, 0)",const0,4,[-1],0,6528,0,42624,0,0,0,2,[2],0,0,0
"(-1, -1, -1)","(0, -1, 0)",id,4,"[-1, 0]",128,49024,0,0,0,0,0,0,[],8,0,0
"(-1, -1, -1)","(0, -1, 0)",swap,4,[-1],0,6528,0,42624,0,0,0,2,[2],0,0,0
"(-1, -1, -1)","(0, -1, 0)",const1,4,[0],128,49024,0,0,0,0,0,0,[],8,0,0
"(-1, -1, -1)","(0, -1, 1)",const0,4,[-1],0,6528,0,42624,0,0,0,8,"[2, 4, 8]",0,0,0
"(-1, -1, -1)","(0, -1, 1)",id,4,"[-1, 1]",0,6528,0,42624,0,0,0,8,"[2, 4, 8]",0,0,0
"(-1, -1, -1)","(0, -1, 1)",swap,4,[0],0,6528,0,42624,0,0,0,8,"[2, 4, 8]",0,0,0
"(-1, -1, -1)","(0, -1, 1)",const1,4,[1],0,6528,0,42624,0,0,0,8,"[2, 4, 8]",0,0,0
"(-1, -1, -1)","(0, 0, -1)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(0, 0, -1)",id,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(0, 0, -1)",swap,4,[-2],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(0, 0, -1)",const1,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(0, 0, 0)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(0, 0, 0)",id,4,"[-1, 0]",0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(0, 0, 0)",swap,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(0, 0, 0)",const1,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(0, 0, 1)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(0, 0, 1)",id,4,"[-1, 1]",0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(0, 0, 1)",swap,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(0, 0, 1)",const1,4,[1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(0, 1, -1)",const0,4,[-1],0,6528,0,42624,0,0,0,8,"[2, 4, 8]",0,0,0
"(-1, -1, -1)","(0, 1, -1)",id,4,[-1],0,6528,0,42624,0,0,0,8,"[2, 4, 8]",0,0,0
"(-1, -1, -1)","(0, 1, -1)",swap,4,[-2],0,6528,0,42624,0,0,0,8,"[2, 4, 8]",0,0,0
"(-1, -1, -1)","(0, 1, -1)",const1,4,[-1],0,6528,0,42624,0,0,0,8,"[2, 4, 8]",0,0,0
"(-1, -1, -1)","(0, 1, 0)",const0,4,[-1],0,6528,0,42624,0,0,0,2,[2],0,0,0
"(-1, -1, -1)","(0, 1, 0)",id,4,"[-1, 0]",128,49024,0,0,0,0,0,0,[],8,0,0
"(-1, -1, -1)","(0, 1, 0)",swap,4,[-1],0,6528,0,42624,0,0,0,2,[2],0,0,0
"(-1, -1, -1)","(0, 1, 0)",const1,4,[0],128,49024,0,0,0,0,0,0,[],8,0,0
"(-1, -1, -1)","(0, 1, 1)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],1,0,0
"(-1, -1, -1)","(0, 1, 1)",id,4,"[-1, 1]",0,16384,0,0,0,32768,0,0,[],6,0,0
"(-1, -1, -1)","(0, 1, 1)",swap,4,[0],0,49152,0,0,0,0,0,0,[],1,0,0
"(-1, -1, -1)","(0, 1, 1)",const1,4,[1],0,16384,0,0,0,32768,0,0,[],6,0,0
"(-1, -1, -1)","(1, -1, -1)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],4,0,0
"(-1, -1, -1)","(1, -1, -1)",id,4,[-1],0,19788,0,0,0,29364,0,0,[],5,0,0
"(-1, -1, -1)","(1, -1, -1)",swap,4,[-2],0,49152,0,0,0,0,0,0,[],4,0,0
"(-1, -1, -1)","(1, -1, -1)",const1,4,[-1],0,19788,0,0,0,29364,0,0,[],5,0,0
"(-1, -1, -1)","(1, -1, 0)",const0,4,[-1],0,11832,0,37320,0,0,0,2,[2],0,0,0
"(-1, -1, -1)","(1, -1, 0)",id,4,"[-1, 0]",0,49152,0,0,0,0,0,0,[],7,0,0
"(-1, -1, -1)","(1, -1, 0)",swap,4,[-1],0,11832,0,37320,0,0,0,2,[2],0,0,0
"(-1, -1, -1)","(1, -1, 0)",const1,4,[0],0,49152,0,0,0,0,0,0,[],7,0,0
"(-1, -1, -1)","(1, -1, 1)",const0,4,[-1],0,18992,0,30160,0,0,0,2,[2],4,0,0
"(-1, -1, -1)","(1, -1, 1)",id,4,"[-1, 1]",0,18992,0,30160,0,0,0,2,[2],4,0,0
"(-1, -1, -1)","(1, -1, 1)",swap,4,[0],0,18992,0,30160,0,0,0,2,[2],4,0,0
"(-1, -1, -1)","(1, -1, 1)",const1,4,[1],0,18992,0,30160,0,0,0,2,[2],4,0,0
"(-1, -1, -1)","(1, 0, -1)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 0, -1)",id,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 0, -1)",swap,4,[-2],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 0, -1)",const1,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 0, 0)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 0, 0)",id,4,"[-1, 0]",0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 0, 0)",swap,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 0, 0)",const1,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 0, 1)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 0, 1)",id,4,"[-1, 1]",0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 0, 1)",swap,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 0, 1)",const1,4,[1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 1, -1)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 1, -1)",id,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 1, -1)",swap,4,[-2],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 1, -1)",const1,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 1, 0)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 1, 0)",id,4,"[-1, 0]",0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 1, 0)",swap,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 1, 0)",const1,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 1, 1)",const0,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 1, 1)",id,2,"[-1, 1]",0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, -1)","(1, 1, 1)",swap,2,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, -1, 0)",const0,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, -1, 0)",id,2,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, -1, 0)",swap,2,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, -1, 1)",const0,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, -1, 1)",id,4,"[0, 1]",0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, -1, 1)",swap,4,[1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, -1, 1)",const1,4,[1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, 0, -1)",const0,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, 0, -1)",id,4,"[-1, 0]",0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, 0, -1)",swap,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, 0, -1)",const1,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, 0, 0)",const0,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, 0, 0)",id,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, 0, 0)",swap,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, 0, 0)",const1,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, 0, 1)",const0,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, 0, 1)",id,4,"[0, 1]",0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, 0, 1)",swap,4,[1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, 0, 1)",const1,4,[1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(-1, 1, -1)",const0,4,[0],0,18992,0,30160,0,0,0,2,[2],4,0,0
"(-1, -1, 0)","(-1, 1, -1)",id,4,"[-1, 0]",0,18992,0,30160,0,0,0,2,[2],4,0,0
"(-1, -1, 0)","(-1, 1, -1)",swap,4,[-1],0,18992,0,30160,0,0,0,2,[2],4,0,0
"(-1, -1, 0)","(-1, 1, -1)",const1,4,[-1],0,18992,0,30160,0,0,0,2,[2],4,0,0
"(-1, -1, 0)","(-1, 1, 0)",const0,4,[0],0,11832,0,37320,0,0,0,2,[2],0,0,0
"(-1, -1, 0)","(-1, 1, 0)",id,4,[0],0,49152,0,0,0,0,0,0,[],7,0,0
"(-1, -1, 0)","(-1, 1, 0)",swap,4,[0],0,11832,0,37320,0,0,0,2,[2],0,0,0
"(-1, -1, 0)","(-1, 1, 0)",const1,4,[0],0,49152,0,0,0,0,0,0,[],7,0,0
"(-1, -1, 0)","(-1, 1, 1)",const0,4,[0],0,49152,0,0,0,0,0,0,[],4,0,0
"(-1, -1, 0)","(-1, 1, 1)",id,4,"[0, 1]",0,19788,0,0,0,29364,0,0,[],5,0,0
"(-1, -1, 0)","(-1, 1, 1)",swap,4,[1],0,49152,0,0,0,0,0,0,[],4,0,0
"(-1, -1, 0)","(-1, 1, 1)",const1,4,[1],0,19788,0,0,0,29364,0,0,[],5,0,0
"(-1, -1, 0)","(0, -1, -1)",const0,4,[0],0,49152,0,0,0,0,0,0,[],1,0,0
"(-1, -1, 0)","(0, -1, -1)",id,4,"[-1, 0]",0,16384,0,0,0,32768,0,0,[],6,0,0
"(-1, -1, 0)","(0, -1, -1)",swap,4,[-1],0,49152,0,0,0,0,0,0,[],1,0,0
"(-1, -1, 0)","(0, -1, -1)",const1,4,[-1],0,16384,0,0,0,32768,0,0,[],6,0,0
"(-1, -1, 0)","(0, -1, 0)",const0,4,[0],0,6528,0,42624,0,0,0,2,[2],0,0,0
"(-1, -1, 0)","(0, -1, 0)",id,4,[0],128,49024,0,0,0,0,0,0,[],8,0,0
"(-1, -1, 0)","(0, -1, 0)",swap,4,[0],0,6528,0,42624,0,0,0,2,[2],0,0,0
"(-1, -1, 0)","(0, -1, 0)",const1,4,[0],128,49024,0,0,0,0,0,0,[],8,0,0
"(-1, -1, 0)","(0, -1, 1)",const0,4,[0],0,6528,0,42624,0,0,0,8,"[2, 4, 8]",0,0,0
"(-1, -1, 0)","(0, -1, 1)",id,4,"[0, 1]",0,6528,0,42624,0,0,0,8,"[2, 4, 8]",0,0,0
"(-1, -1, 0)","(0, -1, 1)",swap,4,[1],0,6528,0,42624,0,0,0,8,"[2, 4, 8]",0,0,0
"(-1, -1, 0)","(0, -1, 1)",const1,4,[1],0,6528,0,42624,0,0,0,8,"[2, 4, 8]",0,0,0
"(-1, -1, 0)","(0, 0, -1)",const0,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(0, 0, -1)",id,4,"[-1, 0]",0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(0, 0, -1)",swap,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(0, 0, -1)",const1,4,[-1],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(0, 0, 0)",const0,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(0, 0, 0)",id,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
"(-1, -1, 0)","(0, 0, 0)",swap,4,[0],0,49152,0,0,0,0,0,0,[],0,0,0
